,Review,ratings
10,Bad experience with the appointment booked. But worst is the practo response to it. They clearly are protecting the doctor and in turn their own reputation. I have submitted my feedback for the doctor twice which isn't published. Also I was supposed to get refund for the appointment that wasn't attended by doctor. Everytime they just keep on saying it's done but I haven't received.,Rated 1 stars out of five stars
11,"I don't find this app much updated. When I tried booking some slots through the app, found the doctors unavailable at each case. Plus, I got a call from the clinic I wished to visit, enquiring my exact problem, which I wasn't comfortable to share. Further, the calling executive said that they cannot book any appointments unless they get the details on call. Very disappointing.",Rated 1 stars out of five stars
12,"I see a lot of development required in this because of many bugs in current app version. Few if them are - 1) After initiating call through the app, sometimes call didn't get connected and we didn't get voice of each other. 2) when try to get out of chat window of any doctor, the app forcefully ask for rating of doctor and we are not able to back it unless we kill the app. The rating should not be mandatory. 3) Sometimes chat is not visible in good way like recent chat shows up.",Rated 2 stars out of five stars
13,Although the app and services are okay but it has many shortcomings to be rectified. I have booked doctor's appointment through app and visited Dr. For same date and time but it is not reflected in my account and counted as I didn't visit. I even tried to contact through customer care centre to resolve the issue but all efforts and time devoted gone in vein. Finally no one is there to rectify problem I am installing the app.,Rated 1 stars out of five stars
14,"While the app provides a lot of features, there is no easy way to search for a doctor that you know and book an appointment. I guess in aim of monetization, the basic needed features have taken a backseat.",Rated 2 stars out of five stars
15,I am trying to buy one item from 1 week and it says unavailable.. Even after several follow up still the item is unavailable.. Enfamil stage 1 used to buy from almost 2 months regularly and now it's unavailable!! There is no option to talk to customer care on any concern also. This is Frustrating,Rated 4 stars out of five stars
16,"Earlier app design was very good like you search for medical problem. it will show you the list of doctors. you can pick any and book the consultation. Now if you search the medical problem, it will redirect to package selection page where you need to select one package atleast otherwise you can go forward. This package is for online consultation. No way to book in-clinic appointment. If it is there god knows where..Pathetic app.",Rated 1 stars out of five stars
17,"Overall good. Two issues: 1. I found that sometimes doctors prescribe stronger and more medicines than necessary. Though this helps get well faster, but is costlier and may adversely impact health in the long term. 2. I would like to wait for 2 weeks begore reviewing a doctor, to be able to provide accurate feedback about the treatment. But the app asks for feedback immediately upon consultation.",Rated 3 stars out of five stars
18,"Not worth it. 1. The app crashing when doctor tries video calling me. 2. Quality of online doctors not good. Had bad experience with sony mehta. 3. Some prescribed tests show CTA but when called, we get the answer that CT is not there in practo. 4. When reports come, tapping on it gives error.",Rated 1 stars out of five stars
19,"I wish I could select 0 star for your app since my first experience was very bad. I installed the app , made the doctor payment, got in queue with doc, doctor asked me to wait and then all of sudden my appointment was cancelled without any info and with a message that refund has been initiated. Is this way this app works? Very disappointing. This is my first and last visit to this app. Thanks for such a nice app.",Rated 1 stars out of five stars
20,"Nice app easy to use authentic and reliable. doctors are available 24*7 and also good. they listen their patient very calmly and their prescribed treatment goes very well. must use this app. if you live in rural areas or hotspitals are far from your place or your want to avoid unnecessary queue or you want treatment asap this app is for you. I used this app many times for different age person's treatment, all the times doctor's were well versed and proficient. kindly go through this app.",Rated 5 stars out of five stars
21,"Such awful app full of bugs. This app got serious bug problem during payments. From past 2weeks I have been trying to do payment and my money got deducted twice after the redirection from bank website, the payment got froze and order never be placed",Rated 1 stars out of five stars
22,"Practo is fooling customers with their poor service. No doctor honors their appointment, It's better to use other competitors app. Literally zero service and response from practo. They just give missed call and send a message that the issue is resolved, that's the best these guys are doing",Rated 1 stars out of five stars
23,"Lot of changes happened over the updates, the UI has reduced friendliness after each update. Also the rating section to the Doctor is screened it never appears if it's negative.",Rated 2 stars out of five stars
24,"Worst experience with this app. Lab options very far from my locations. After requesting several times they are given near by option. Nobody is there to respond over customer care number. They won't mention contact numbers in mail, need to wait till they responds or confirms",Rated 1 stars out of five stars
25,Horrible app and customer service. Both are incompetent with zero regards for urgency especially for the diagnostic tests. This is coming even after having a corporate tie up with practo plus.,Rated 1 stars out of five stars
26,The app force you to rate every doctor from the time you talk to a doctor. How will you know a doctor unless you deal with him/her for atleast a few times. And why should i be force to rate a doc. Also their support system is really bad. You can't talk to them on phone. They have only chat facility. I will not recommend Practo to you.,Rated 1 stars out of five stars
27,This is very good app. People whos physical approch is not possible with doctors. Thank you practo app and doctors for you concer to people's.,Rated 5 stars out of five stars
28,"Practo app team is not all responding to the customer queries and their backend team and support team is not all accessibile and supportive to the customer complaints. I don't recommend anyone to take an medical insurance from this app, please go the insurance company directly, atleast they reveal the information prior to the purchase of medical plan. My reimbursement is stuck since 15 days and the insurance is not yet activated on the app despite multiple follow ups",Rated 1 stars out of five stars
29,"It is a very useful app, but never loads existing appointments page. This blocks me from rescheduling appointments. The app developers should fix this. It has been an issue for ages now. Edit: Prompt response from the support team and issue is now resolved. 5 stars",Rated 5 stars out of five stars
30,Terrible experience... They ask for payment first which I did because it was emergency from my side .. again I got an appointment and they didn't call at all on first place nither they were information regarding counsltation... When I go to helpdesk... The chatbot had no clue... What is going on and they closed the counsltation... And there's no option of regarding,Rated 1 stars out of five stars
31,"A very handy, helpful app. Especially when you're new to a city. Sometimes the doctors dont hold up their ratings but I've experienced very few of such. All in all, it's a great collective od docs here. Edit - reducing the stars as interface has started to lose its efficiency.",Rated 4 stars out of five stars
32,"No customer care number.... No support in case of any issues for the customer, improper communication to the labs in regards to the tests to be done, no tracking and status does not get updated.. No prior information on the results or samples in case of any issues and customer needs to follow-up constantly without any success... Really disappointed first time experience and not going to use it next time.",Rated 1 stars out of five stars
33,"Very very dirty and bad app because they are fooling and wasting time valid customer's. Medicine availability is showing in app , added in Kart and paid in online twice I have proof solid evidence of screenshots. Just one word please do not follow or buy from this practo app",Rated 1 stars out of five stars
34,So after exchanging mails & editing review everytime (coz these people only respond when u right it here.. otherwise they just ignore ur mail)..these people have not shared.. actually refuse to share any proof that ..my payment was failed ..inspite of sharing the screenshot of successful payment..so basically these people are absolutely CHINDICHOR..not responsive.. unprofessional IDIOTS,Rated 1 stars out of five stars
35,"No verified doctor, a few doctors don't assist on time, dont revert with least knowledge some times. If you would tfy to reach to practo support, thats another challenge since they to are useless.",Rated 1 stars out of five stars
36,"Worst user experience, they have no value for their pro membership, it asks for payment even after having pro membership and selection of plan, already updated app to latest version also contacted support but not able to get solution.",Rated 3 stars out of five stars
37,If you want to order medicines please use a different app. Practo is absolutely useless when it comes to orders. Most of the times the medicines aren't available. They promise false delivery time. Very disappointed overall,Rated 1 stars out of five stars
38,"With the latest version, it has become extremely difficult to navigate. It was very user friendly before but now it is very frustrating",Rated 1 stars out of five stars
39,I wanted a clinical microbiologist. Not available. Wanted a endocrinologist for diabetes. But there's only diabetes certificate doctors . But in the plan it's being sold by mentioning all specialities available. This is not right. And extremely poor support system. Takes hours,Rated 1 stars out of five stars
40,Very disappointing application in the application the appointment times are different and then u receive call from clinic that Dr is not available at that time. Even if i reconfirm they say the same thing again and again i would not prefer this app or recommend any one,Rated 1 stars out of five stars
41,"Earlier, i was able to check all listed doctors,their experience,fees and reviews and also BOOK OFFLINE APPOINTMENT but now , I can nowhere find such an option. Customer care couldn't help. Useless",Rated 1 stars out of five stars
42,Srinivas from Practo Surgeries has been very helpful and supportive all through the process. Right from the time we reached the hospital until we exited. Thank you so much for your support and help throughout the process. Practo is lucky to have you in their team !,Rated 5 stars out of five stars
43,"Ease of appointments booking and cancellation, no questions asked, instant service. Customer care is prompt to respond. Straightforward app.",Rated 5 stars out of five stars
44,No option to search doctors/symptoms etc on the app. Have to go to practo website on browser and search making the app useless.,Rated 1 stars out of five stars
45,"Worst team i have ever seen Dont prefer to go for Practo for any services they provide I have booked an appointment for home sample collection, no one reached out, they rescheduled it without my consent for next day, again no one reached out to me When I try to reach them over helpline number no one takes the call",Rated 1 stars out of five stars
46,"17/9/2022 Helped me find the right doctor for the health issues. But the online payment has been a failure. Although I paid the doctor online, she never received the payment. 24/9/2022 Practo response - ""We are overwelhmed with requests, go to chat support and raise request"". 5/10/2022 Finally received solution to chat request problem. Moral of the story- to get immediate response from Practo, post a review on Playstore. Payment issue is however still pending.",Rated 3 stars out of five stars
47,Doctor didn't show up in the appointment. Called her but she didn't pick. I needed an urgent consultation. Have been trying Help for 3 hours now but Help is unreachable. ------ Practo helpdesk reached out the next morning. They've initiated the refund and fixed the app. ------ Thanks team,Rated 4 stars out of five stars
48,"Useful for looking up doctors, but not for booking appointments because the information about doctors' availablity is unreliable. After a ""confirmed"" appointment, it's likely that the doctor isn't available or the clinic itself is shut.",Rated 2 stars out of five stars
49,This Practo app is very easy to use...i specially thanks Sushma ma'am for helping and responding to every single query i asked for... looking forward to see you again next month. til then i'll follow up you diet chart...Thank u soch much ma'am you were great help for me.,Rated 5 stars out of five stars
50,I was really sick and couldn't go to a hospital. I used this app for the first time and what a help it was. I got connected to a Dr with hardly any wait. I had a video consultation and prescription shared in no time. Thankful.,Rated 5 stars out of five stars
51,Easy to use aop. The best things are doctors are available round the clock and their immediate supports through audio / video calls everytime.,Rated 5 stars out of five stars
52,My first experience is very bad with practo booked appointment paid money 849 but doctor is not available for video cal on given time. After some time it showing consultation end. Doctor consultation doesn't happen and they are not returning my money. Tried with the help centre but they also didn't help,Rated 1 stars out of five stars
53,It's a very useful app. I tried booking an appointment with Practo and had very nice experience . They are very supportive.,Rated 5 stars out of five stars
54,"we'll intentioned but a scam, Not once or twice but like 3 times I have got a confirmed appointment and doctors have mentioned they didn't even get a notification and don't accept the appointments. are you making sure doctors are seeing the incoming appointments. are you encouraging the clinics to call back and confirm ?. After a practo confirmation, if we trust to call the clinics ourselves no one picks up. there's no options to cancel the appointment if the clinic isn't reachable.",Rated 1 stars out of five stars
55,Bad experience. Incorrect details and consultant fees of the doctors. Very disappointed with this app. Not only I have faced this problem but also many people have faced the same so kindly fixed this.,Rated 1 stars out of five stars
56,Consultation part is awesome. Chat support and cancelation of orders need a lot of improvement. Just useless.,Rated 3 stars out of five stars
57,When i was clicking on the prescribed medicine that time app getting hang and redirect to chat window again and again. After updating the newest version issue still there.,Rated 4 stars out of five stars
58,Online consultion is good for psychriatic treatment. but not for physical treatment.. because busy and experience doctors are not in this platform. Most of the doctors are new and inexperience..,Rated 3 stars out of five stars
59,"Reviewed. No change in my feedback. Little literate spokesman are deputed to talk. Very very greedy app. They are only interested in how to grab money without consulting any medico doctor, rather than to treat patients.",Rated 1 stars out of five stars
60,Stupid cheating Services I was charged cancelation charges for non availability of the doctor. I spent 2 hrs with the customer support but it was just waste of time. Beware of using Practo services as the support is pathetic. I was unsure if I was to take care of my sick kid or keep spending time explaining the issue to non-supportive and stupid customer support. The only thing the ask to be patient with them. Never ever use Practo. A word of caution.,Rated 1 stars out of five stars
61,Practo is great when it comes to regular or instant consultation when you feel sick. Availability of quality doctors at your fingertips. Really helpful in case of family consultation as well...///,Rated 4 stars out of five stars
62,I have choosen the language as Kannada before booking an appointment but the doctor i got said he can only speak English.. It would be difficult to have a conversation with doctor..Not sure if their is an option to change the doctor later the consultation with one.,Rated 2 stars out of five stars
63,"I have used this app multiple time and everytime i face new type of issue. This time my payment was not confirmed even when amount was deducted from my bank accoutn, and I lost my Rs. 300 coupon twice in the process. The help centre is unable to do anything like always. Worst experience",Rated 1 stars out of five stars
64,"Be careful while ordering medicine on this app. For some of the medicines, they do not have proper detals on the catalogue. Make sure to read fine print before ordering.",Rated 1 stars out of five stars
65,"I like the mission and vision of the app. The problem it is solving is great, and there in no other app like this. I am a Practo plus member , that being said the app itself has some problems - A ton of payment gateway errors. Can't pay for medicines due to these issues - Issues with the UI ( I can't see the upload prescription button). ( The camera icon to upload images on chat appears and disappears) The interface itself needs a lot of refining",Rated 3 stars out of five stars
66,"Best - Easy to use app!! Things to improve - Although I had been assigned a very good doctor, the location and exp seemed to be very randomly selected. Doctor assignment algorithm may need additional input from medical domain. Some conditions are best assigned to seniors, and location matters with incidence of some conditions. All the best Practo!",Rated 4 stars out of five stars
67,"Such a poor service. No calling number. Chat agents don't respond for a long time and a few Dr's. misbehaves and company does not take any action against them. Apart from this, I never got connected with any Dr. from my base city. I am always connected with Dr's. from south India. I don't know why? Do we have lack for good Dr's. in Delhi? Language and accent are always a big barrier. This app should provide Dr's from local location only.",Rated 1 stars out of five stars
68,"Terrible experience. Their PRODUCT and SUPPORT SUCKS BIG TIME. Phlebo details not shared even 10 mins before the test. Chat support clueless and doesn't even have BASIC things like customer details and asks for email and order Id , after a gap of 5-5 minutes . Then says that we will get back to you. Doesn't even cancel the order. While cancelling the order if i give this feedback the order cancellation form gives an error. Then giving a 1 star rating gives some random error. NO MONEY REFUNDED",Rated 1 stars out of five stars
69,The worst app ever. Never consult the through this app. Had a really bad experience and i would rate it zero if it was possible. There was no provision of getting a prescription after the consultantion and the place where I could contact them was frozen. Waste of money !!!!!!!!!,Rated 1 stars out of five stars
70,Every time it shows notification I disabled notification for this app but after every update it resets it and start notifications on its own. Why?,Rated 1 stars out of five stars
71,I liked it so much. it is really good app if we want to consult a doctor and we don't have time to visit the centre and all or we don't have good doctors around us,Rated 5 stars out of five stars
72,"In UI you can't find option of booking appointments with Doctors, it's frustrating every time you get option of online consultation, don't have option to book appointments for consultation offline.",Rated 1 stars out of five stars
73,"Useless app. 90% of the addresses are inaccurate. Unprofessional people. Multiple times, I showed up at the clinic and the doctor was either late or unavailable. Practo doesn't even know the accurate contact number or clinic's address. Waste of time and money.",Rated 1 stars out of five stars
74,I always thought that getting a surgery done would be an exhausting and complicated process but practo made it very simple and easy. From the doctors consultation to being there with me till the surgery was done practo was there on every step of the way. Special thanks to subhasri for arranging everything and making sure that i was comfortable and relaxed throughout the process. I highly recommend practo and just would like to thank them for all their help. Keep up the good work,Rated 5 stars out of five stars
75,"I booked the test appointment and paid as well but after booking there is no way to see the test booking status. I tried Track status but its always shows ""All our Phlebotomists are unavailable today"" and rescheduling is just keeps loading for ages. Waited for 15 minutes for chat support initially, later they took 15 minutes to get all the basic information and then asked to wait for 15 more minutes. Later chat disconnected automatically.",Rated 1 stars out of five stars
76,Disgusting app not available to process payment it's only loading. I waited so long but it's loading and loading can't available to processing the payment.,Rated 1 stars out of five stars
77,"This app is a hell.. either can't connect the call or after connecting to the call another practo call tries to connect.. this very annoying. If at it connects, Bluetooth device keep ringing.. it's horrible one!",Rated 1 stars out of five stars
78,"Update : Chnaging the rating to 4* (from 1*). Practo team not just connected to understand my issue, but also followed up until the app issue was resolved. issues was resolved within 2 business days. My earlier issue was -- Marsh Wellness benefits (Corp Plan) not showing despite trying multiple times. I am on a Corporate Plan & recently we were advised to refresh and reactivate the app through a link. Ever since I did that, the app stopped working, and showed Marsh Wellness benefits expired.",Rated 4 stars out of five stars
79,One things needs to be improved is there is no real time tracking details in app under order details. Remaining sections wise this application is very useful,Rated 5 stars out of five stars
80,"I have practo corporate membership. Earlier it used to be so good, I have ordered medicine with great discount and it used to be delivered in 1-2 days but i dont know what happened to them now. They changed their delivery partner and now medicine is not getting delivered even after a week. They cancelled the order without telling us. There is no way we can reach out to them on mobile. Really bad experience!",Rated 1 stars out of five stars
81,Whatever we r choosing in helpcenter..giving error something wrong and keeps on rotating..also we dont have choice to choose preferred doctor..it will assign automatically someone which we dont prefer,Rated 1 stars out of five stars
82,It's totally misleading and misguiding application. I've posted negative feedback about a doctor a week ago and Practo background verification team contacted me and verified the issue but still I don't see my feedback. This mislead application users and will not be able take decision effectively.,Rated 1 stars out of five stars
83,Stay away from this app if you are looking for video consultation. I booked 2 appointment one after another and both I had to cancel because the doctor didn't show up even after 20 minutes of booked appointment time. Imagine you being in pain and wasting your time here just to book from one doctor to another. Would highly recommend to try other platforms,Rated 1 stars out of five stars
84,If could give this app 0 stars I would have given it. It is such a worthless app. First of all for 5 days these guys had been telling me that I will get a refund on my cancelled appointment but all of a sudden they are claiming that the appointment was never cancelled and they cannot apparently cancel the appointment and also I consulted the doctor apparently in some parallel universe. It is the most useless worthless app ever.,Rated 1 stars out of five stars
85,"I tried booking an appointment but it never proceeded beyond the payment page.On the payment page, it asked for card details, upon submission, it kept spinning there and nothing happened.Tried multiple times. Went ahead and booked with a competitor.Their app works!",Rated 1 stars out of five stars
86,"The 'medical records' feature is not smooth. When I select the option to upload photos from gallery, it does not show the content of galary rather it goes back to main window after few seconds.",Rated 2 stars out of five stars
87,"Very worst app. Doctors cannot find easily. If found cannot see the phone number or contact details. App pages is more unwanted pages and it is a complex system, This app is not user friendly. Almost this app focus only money money money. More ads pages. Location not showing properly.",Rated 1 stars out of five stars
88,Good app and available at all the times. Have made doctors available at some very critical times of emergency.,Rated 5 stars out of five stars
89,"I was suffering from last two years with skin disease, but get perfect medication on practo app. now I am feeling much better.",Rated 5 stars out of five stars
90,the only genuine and reliable medical app out there... I hope the app continues to prosper for both patients and the owners.. All the best,Rated 5 stars out of five stars
91,"One of the worst app, doctor and customer support. My doctor didn't share prescription with me, when asked she said she is facing technical issues and shared screenshot of the prescription where there is NO details of Doctor in it. I went to customer support and no one is helping, all they are saying they will escalate this so that this does not repeat in future. You know what, I want to get it Fixed, as I have to share the prescription with my organization to get the medical bills reimbursed.",Rated 1 stars out of five stars
92,"No option of connecting wvia call, too much of time waste on chat. I am adding more comments.....This app is worse than expected, no reliability of test , I faced serious trouble because of his sample collection person, they don't show I'd cards , no action on person even after multiple complaints and follow up PATHETIC .. I seriously wonder how they are surviving in the market",Rated 1 stars out of five stars
93,We should be having options where we can see doctor communicate in native languages. Currently we only see english and hindi. Our parents speak in kannada and it's not help us to fullfill 100℅ treatment. This will help us to make our family indepedent without our help. Kindly provide details where we can see doctor can communicate in native languages.,Rated 4 stars out of five stars
94,"Very frustrating app UI , first it was difficult to search for doctors on this app, and when they give you some suggestions the provide doctors from different locations inspite of your location preference provided clearly. Not recommended",Rated 1 stars out of five stars
95,Unfortunately after using the application for so many times I do feel your online follow up appointment policy with doctors is not useful.Once we are done with first consultation only option is chat and doctor do not respond.So mostly it will be waste of money as now i have rebook the appointment so that doctor can see reports which he has asked for...and its bad,Rated 2 stars out of five stars
96,"a very nice and convenient app to reach out to the world class Doctors, and not only that through this app doctors responds to you within few seconds, thats the best part. only one thing which could have been better is few test and medicines are not available at certain location(like mine in Assam) thats the sad part, so I deducted 1 star for that....or else its a very good app. thank you",Rated 4 stars out of five stars
97,"Practo app is easy to use and very helpful for every one, and we can consult a doctor by sitting at home itself.",Rated 4 stars out of five stars
98,"Quite useless app honestly, trying to just scam people into getting online booking and then cancelling. Use people money for couple of days until refund is initiated. Not useful and dont recommend at all. After seeing the reviews alot of people's appointment gets cancelled and the customer care informed that such situation only happens in rare case. Rubbish. The customer care is so slow and it has been 5 days yet my money has not been refunded.",Rated 1 stars out of five stars
99,amezing app. for all medical issues one point stop/ solution. easy and convenient,Rated 5 stars out of five stars
100,in times of urgency specially at odd hours when offline hospitals are not in a position to come to your help. Practo with its multiple discipline is there to take care of the patients. Thank u Practo,Rated 5 stars out of five stars
101,very fast connectivity and super consultation. Dr was answering all our queries and gave good solutions. God bless him,Rated 5 stars out of five stars
102,"Booked lab tests (LFT and CBC) that says reports in 4 hours/same day delivery in the app. It's been 48 hours now, still no report and had to cancel the doctor's appointment. Will never book a lab test again in practo.",Rated 1 stars out of five stars
103,Horrible experience- paid fees online for in clinic appt and then the appointment was canceled without prior notice. No refund given. Stay away as they have worst customer service.,Rated 1 stars out of five stars
104,The worst experience an app could give. People use such apps for convenience and this app is so laid out. My reports of RTPCR was ready and still these guys couldn't provide the reports to me. Even after multiple follow ups their chat support couldn't help. They have a customer care number that doesn't work. Its just gets cut. Never going to use this app again.,Rated 1 stars out of five stars
105,I am so thrilled by my online consultation. Doctor was extremely good and she answered all my quairies.I got prescription in time and was an excellent one. I will give 10/10 to PRACTO APP.... Keep going,Rated 5 stars out of five stars
106,Pathetic experience. Now what they are doing is putting unprofessional doctors under video consultation. These doctors have poor rating from previous patients and despite of it they are on the app because Practo is taking subscription charges from them . When you request for video consultation and that too instant should happen instant and rating should be checked . Practo I been your loyal customer and now moving out of it !!,Rated 1 stars out of five stars
107,Worst doctors. Prescription given are not good. You won't get cured properly and with improper prescription you will get side effects. Best prefer only offline doctors.,Rated 1 stars out of five stars
108,"Practo app is good and helped in getting consultation quickly, only problem certain functionality doesn't work until restart the app",Rated 4 stars out of five stars
109,"No able to contact customer support, the app shows something went wrong. Need to highlight an issue happened with the doctors consultation, kindly contact me since I am unable to do it.",Rated 1 stars out of five stars
110,Practo app is very nice to operate and video call process is just in click time to connect to doctor.,Rated 5 stars out of five stars
111,"Pathetic experience. No proper update regarding doctors. Doctor was not available for videochat at all but practo booked my video call. Nobdy responded on video call. I was waiting like fools. Then some how I managed to have a audiocall and that also just for 5 min. Money wasted totally. I won't suggest anyone to go thru practo, better go to the doctors directly.",Rated 1 stars out of five stars
112,"This is a fraud app, entire system along with doctors are fraud. While booking appointment my money was debited from my bank account but the appoint was not confirmed. After contacting the most slow and bad support this app provide they themselves cancelled my appointment . Now it's been 5 days since they initiated refund and no refund has been credited. Also this app does not provide call support. Only way to get refund now is complaint to cyber cell for online fraud. Don't book appointments.",Rated 1 stars out of five stars
113,"Whatever is the app experience, it is the service that sucks. Way overpriced services with not so wide options. A simple walk in my neighborhood has given me far more and better healthcare options.",Rated 1 stars out of five stars
114,"Practo plus plan renewed but still not updated even after after 5 days. It would be great if dev team look into this. I have faced this issue twice and this time I am still waiting for resolution. I have connected with your team still waiting for the resolution. Practo plus is activated now, thanks for the support.",Rated 4 stars out of five stars
115,"it is most convenient way to consult a doctor. Available both audio and video consultation, no need to go to hospital/clinics until and unless it's an emergency. due to covid many hesitate going to hospital so it's very effective alternative to that.",Rated 5 stars out of five stars
116,Even after scheduling appointment I had to wait in line to see doctor. Whats the point of scheduling if you have to wait in line. Edit: Support executive from practo called me and asked me to call the hospital an hour before the appointment and re confirm my booking to avoid this circumstance. If this is what I am supposed to do then why use your services. I can directly call the hospital and book my appointment with them.,Rated 1 stars out of five stars
117,"No option for language selection, most doctors are available at clinic only, very few video consultants!",Rated 3 stars out of five stars
118,"Fix the UI. Despite having a good internet connectivity, the apo for half if the time shows ""fetching latest conversations"", and doesn't open.",Rated 2 stars out of five stars
119,Useful n handy. Very useful for busy people.,Rated 5 stars out of five stars
120,The doctor listened to the situation very clearly. it was really helpful.,Rated 5 stars out of five stars
121,"Practo won't cancel my appointment . Practo won't return me my money. Practo won't confirm my appointment. Their chat support is like an ""excuse center"". They have asked me to wait for 2-3 hours when my appointment is in 30 mins. They have confirmed that the money will be refunded only if my payment is not linked with my appointment. If I receive an appointment confirmation 2 mins before, do you expect me to fly to the clinic? Why should I bear the cost for Practo's technical challenges!",Rated 1 stars out of five stars
122,"Practo is getting rapidly updated. There is still a missing element. On a Sunday night, if there is an emergency, especially when the person is an octogenarian and immobile, publishing a list of doctors available for a home visit will help us a great deal. With poly clinics and multi speciality hospitals in abundance, the concept of family doctor is diminishing. Publish a list of doctors who will be available for home visit on a Sunday.",Rated 5 stars out of five stars
123,The UI of the doctor is horrible. It lags and loads some contents endlessly. Pls fix this ASAP,Rated 1 stars out of five stars
124,"App does not allow to search to locate doctor, it will ask to book appointments and it will select a doctor on its own. Earlier it was good, but now this app is useless",Rated 1 stars out of five stars
125,"General physicians are just MBBS freshers trying to make some money. I haven't seen a single postgraduate doctor in the online consultation. The funniest thing is you cannot select the doctor of your choice, which I am not OK with. So much for PractoPlus member. All corporates who have availed Plus membership for their employees should discontinue this below-par service May be that will help get better service options.",Rated 2 stars out of five stars
126,UI needs to be more user friendly.,Rated 4 stars out of five stars
127,"Don't opt for this app.... most of the doctors under this app are very expensive and costly. They charge extra without informing... even this app gives incorrect information stating that no extra charges would be levied apart from consultation. However charged me registration fees at the doctor's clinic..as per my personal experience, i won't suggest anyone to use practo... even recently I have cancelled my appointment with another doctor after having such kind of experiences",Rated 1 stars out of five stars
128,"""Something went wrong"" Most of the links on app show this message. Specially Help link. Whenever there is issue in consultation and you try to reach help, this message comes up. ""Really Pathetic App""",Rated 3 stars out of five stars
129,"Worst experience with practo, ordered medicine which prescribed by doctor on same platform which available mostly with them only. Got delayed by 4 days stating logistics company not responding (Kochi Hub). They stating, have to order again to deliver same way which stuck now.",Rated 1 stars out of five stars
130,easy to use app and recommend doctors well experienced.. overall good experience.,Rated 4 stars out of five stars
131,Absolutely satisfactory and convenient. Very supportive with GOOD pampering and healing.,Rated 5 stars out of five stars
132,"App is misbehave. Means... Without anyone interaction, call from doctors will come which is fake (mis behave of app). So many times noticed this. Also especially when we open the app. Or switch on internet... Call will be received.",Rated 3 stars out of five stars
133,It's only good as a doctor's directory. Will never recommend it for consultation. They have tried up with below par doctor and give average service,Rated 1 stars out of five stars
134,Your mobile application doesn't work properly and your customer service is not upto the mark.,Rated 1 stars out of five stars
135,"I got 2 surgery done, one with pristine and another with practo. Pristine gave me invoice and hospital gave me test and discharge papers. However, practo refused to give invoice, hospital also refused to give invoice. Only test and discharge papers given that too films not given by hospital. Payment was done by me but no payment proof given. This clearly shows hospital and practo are doing fraud business. Avoid practo and eye mantra hospital as both are frauds.",Rated 1 stars out of five stars
136,Wonderful platform to connect with general as well as specialists doctor for all health need. Loving it 👍🏻🙂,Rated 5 stars out of five stars
